p1: 1 391, p2: 44 390
p1: 1 419, p2: 42 418
p1: 1 430, p2: 43 428
p1: 1 441, p2: 38 442
p1: 1 446, p2: 43 446
p1: 1 463, p2: 40 464
p1: 1 468, p2: 61 468
p1: 1 475, p2: 37 474
p1: 1 481, p2: 37 481
p1: 12 489, p2: 38 489
p1: 1 502, p2: 37 500
p1: 53 491, p2: 78 490
p1: 88 491, p2: 88 532
p1: 2 455, p2: 38 455
p1: 2 458, p2: 30 459
p1: 2 531, p2: 28 511
p1: 3 449, p2: 29 450
p1: 13 438, p2: 47 439
p1: 35 484, p2: 61 484
p1: 44 526, p2: 67 526
p1: 63 298, p2: 86 290
p1: 88 292, p2: 86 321
p1: 61 330, p2: 60 302
p1: 59 447, p2: 85 447
p1: 60 435, p2: 101 435
p1: 60 438, p2: 96 438
p1: 64 450, p2: 64 486
p1: 65 327, p2: 65 303
p1: 66 442, p2: 93 441
p1: 71 359, p2: 351 359
p1: 71 380, p2: 261 380
p1: 73 356, p2: 196 356
p1: 78 333, p2: 280 334
p1: 280 333, p2: 312 333
p1: 75 287, p2: 51 294
p1: 39 301, p2: 39 380
p1: 63 334, p2: 63 377
p1: 84 423, p2: 84 388
p1: 82 386, p2: 58 386
p1: 55 388, p2: 57 428
p1: 85 509, p2: 52 509
p1: 90 327, p2: 130 327
p1: 144 329, p2: 173 327
p1: 89 423, p2: 91 386
p1: 91 386, p2: 274 386
p1: 91 319, p2: 91 272
p1: 91 272, p2: 94 240
p1: 98 235, p2: 243 235
p1: 253 235, p2: 401 236
p1: 402 238, p2: 402 319
p1: 96 395, p2: 196 395
p1: 273 397, p2: 304 396
p1: 108 315, p2: 145 315
p1: 154 317, p2: 179 317
p1: 187 315, p2: 226 315
p1: 100 278, p2: 137 279
p1: 104 275, p2: 137 276
p1: 117 424, p2: 64 426
p1: 127 231, p2: 402 231
p1: 131 450, p2: 89 451
p1: 133 453, p2: 135 484
p1: 134 451, p2: 177 414
p1: 135 420, p2: 168 418
p1: 136 452, p2: 450 452
p1: 453 450, p2: 456 411
p1: 458 409, p2: 493 409
p1: 495 411, p2: 499 443
p1: 137 532, p2: 135 488
p1: 140 484, p2: 142 455
p1: 142 455, p2: 178 455
p1: 137 455, p2: 137 483
p1: 142 494, p2: 142 532
p1: 143 241, p2: 143 266
p1: 144 486, p2: 177 485
p1: 146 489, p2: 177 489
p1: 147 305, p2: 191 305
p1: 149 478, p2: 175 478
p1: 172 449, p2: 248 449
p1: 173 276, p2: 147 276
p1: 175 362, p2: 375 362
p1: 181 532, p2: 183 488
p1: 213 487, p2: 450 470
p1: 199 463, p2: 226 462
p1: 188 279, p2: 147 279
p1: 192 479, p2: 217 476
p1: 195 240, p2: 193 274
p1: 215 275, p2: 241 276
p1: 199 356, p2: 381 356
p1: 217 328, p2: 175 327
p1: 226 330, p2: 248 326
p1: 248 326, p2: 316 325
p1: 236 491, p2: 359 491
p1: 359 490, p2: 391 490
p1: 391 490, p2: 439 486
p1: 451 490, p2: 417 492
p1: 414 495, p2: 408 532
p1: 237 470, p2: 311 471
p1: 239 455, p2: 180 455
p1: 241 278, p2: 197 279
p1: 241 466, p2: 264 465
p1: 243 321, p2: 220 320
p1: 220 319, p2: 191 319
p1: 177 321, p2: 106 319
p1: 87 323, p2: 67 333
p1: 67 334, p2: 67 382
p1: 245 504, p2: 247 532
p1: 247 240, p2: 244 318
p1: 246 321, p2: 269 320
p1: 269 319, p2: 299 319
p1: 348 319, p2: 373 319
p1: 247 317, p2: 269 316
p1: 269 315, p2: 300 315
p1: 311 317, p2: 337 317
p1: 348 315, p2: 380 315
p1: 248 315, p2: 251 239
p1: 251 422, p2: 253 446
p1: 251 449, p2: 402 449
p1: 402 449, p2: 404 427
p1: 400 409, p2: 332 409
p1: 252 383, p2: 67 383
p1: 258 275, p2: 293 276
p1: 258 461, p2: 348 461
p1: 257 418, p2: 257 446
p1: 259 489, p2: 448 477
p1: 263 278, p2: 294 279
p1: 264 475, p2: 292 474
p1: 264 521, p2: 388 521
p1: 266 524, p2: 326 524
p1: 326 525, p2: 367 526
p1: 267 531, p2: 296 531
p1: 271 304, p2: 295 305
p1: 283 466, p2: 392 466
p1: 287 497, p2: 341 497
p1: 311 409, p2: 247 409
p1: 298 240, p2: 298 274
p1: 303 279, p2: 344 279
p1: 299 380, p2: 381 380
p1: 299 445, p2: 299 417
p1: 303 276, p2: 344 276
p1: 306 383, p2: 390 383
p1: 315 333, p2: 398 334
p1: 328 327, p2: 362 327
p1: 298 506, p2: 387 505
p1: 323 455, p2: 450 455
p1: 353 397, p2: 387 396
p1: 341 517, p2: 375 517
p1: 327 301, p2: 305 299
p1: 348 310, p2: 351 281
p1: 350 241, p2: 350 275
p1: 353 279, p2: 382 278
p1: 352 276, p2: 398 276
p1: 353 413, p2: 388 414
p1: 353 241, p2: 353 269
p1: 354 305, p2: 385 304
p1: 356 459, p2: 410 459
p1: 356 473, p2: 328 473
p1: 375 321, p2: 399 321
p1: 399 321, p2: 426 320
p1: 426 319, p2: 459 319
p1: 471 321, p2: 534 320
p1: 387 510, p2: 362 511
p1: 341 514, p2: 312 513
p1: 393 352, p2: 393 384
p1: 394 349, p2: 570 349
p1: 570 350, p2: 572 401
p1: 399 325, p2: 491 324
p1: 399 376, p2: 567 375
p1: 400 378, p2: 566 379
p1: 413 329, p2: 450 329
p1: 423 340, p2: 471 341
p1: 406 318, p2: 406 239
p1: 409 235, p2: 557 236
p1: 559 238, p2: 561 287
p1: 406 412, p2: 406 436
p1: 408 448, p2: 450 449
p1: 426 315, p2: 461 315
p1: 470 317, p2: 493 317
p1: 500 315, p2: 544 315
p1: 414 522, p2: 450 520
p1: 419 409, p2: 453 409
p1: 417 504, p2: 443 505
p1: 419 275, p2: 450 276
p1: 426 508, p2: 453 509
p1: 464 512, p2: 487 512
p1: 420 460, p2: 443 460
p1: 420 464, p2: 446 463
p1: 422 278, p2: 450 279
p1: 427 304, p2: 451 306
p1: 453 242, p2: 455 275
p1: 460 279, p2: 501 279
p1: 456 450, p2: 496 450
p1: 456 518, p2: 479 518
p1: 457 276, p2: 501 276
p1: 481 306, p2: 504 306
p1: 504 340, p2: 551 340
p1: 500 516, p2: 552 516
p1: 559 518, p2: 589 517
p1: 500 522, p2: 529 522
p1: 500 526, p2: 639 527
p1: 501 446, p2: 531 445
p1: 501 531, p2: 556 530
p1: 508 509, p2: 537 509
p1: 503 486, p2: 537 486
p1: 542 489, p2: 570 489
p1: 502 513, p2: 567 513
p1: 504 460, p2: 552 460
p1: 504 481, p2: 560 481
p1: 507 240, p2: 507 275
p1: 507 307, p2: 507 282
p1: 510 241, p2: 510 272
p1: 510 276, p2: 547 275
p1: 522 449, p2: 547 449
p1: 536 445, p2: 565 445
p1: 542 503, p2: 568 504
p1: 547 278, p2: 511 279
p1: 592 300, p2: 592 381
p1: 574 403, p2: 486 406
p1: 486 406, p2: 394 404
p1: 390 386, p2: 327 386
p1: 563 323, p2: 561 300
p1: 565 456, p2: 527 456
p1: 568 453, p2: 594 449
p1: 594 449, p2: 652 450
p1: 569 427, p2: 595 427
p1: 571 476, p2: 524 477
p1: 578 348, p2: 578 373
p1: 575 380, p2: 575 350
p1: 580 436, p2: 605 437
p1: 583 397, p2: 623 395
p1: 584 405, p2: 642 405
p1: 596 414, p2: 647 411
p1: 584 434, p2: 636 433
p1: 586 388, p2: 624 389
p1: 588 303, p2: 588 378
p1: 588 424, p2: 632 424
p1: 593 453, p2: 618 453
p1: 593 473, p2: 656 474
p1: 593 520, p2: 616 520
p1: 616 521, p2: 640 522
p1: 594 385, p2: 625 385
p1: 595 480, p2: 630 480
p1: 596 470, p2: 654 468
p1: 599 417, p2: 654 416
p1: 603 439, p2: 560 439
p1: 560 440, p2: 534 441
p1: 607 437, p2: 656 438
p1: 610 402, p2: 632 401
p1: 615 429, p2: 655 429
p1: 629 441, p2: 574 442
p1: 639 167, p2: 639 137
p1: 644 401, p2: 668 402
p1: 645 408, p2: 583 409
p1: 635 500, p2: 590 500
p1: 651 505, p2: 592 504
p1: 653 153, p2: 655 109
p1: 654 421, p2: 584 421
p1: 655 495, p2: 604 495
p1: 656 490, p2: 604 489
p1: 661 110, p2: 659 145
p1: 663 381, p2: 663 175
p1: 665 173, p2: 692 173
p1: 694 171, p2: 691 108
p1: 689 106, p2: 635 106
p1: 631 113, p2: 630 150
p1: 631 173, p2: 656 173
p1: 658 178, p2: 658 383
p1: 651 386, p2: 629 391
p1: 648 398, p2: 682 398
p1: 663 460, p2: 696 459
p1: 704 457, p2: 761 454
p1: 770 452, p2: 853 532
p1: 665 429, p2: 719 430
p1: 696 440, p2: 722 438
p1: 721 438, p2: 723 410
p1: 665 450, p2: 701 449
p1: 665 478, p2: 688 477
p1: 688 477, p2: 712 480
p1: 697 414, p2: 719 413
p1: 679 472, p2: 708 471
p1: 712 473, p2: 736 473
p1: 667 485, p2: 706 486
p1: 667 510, p2: 729 510
p1: 738 512, p2: 780 511
p1: 668 410, p2: 713 410
p1: 668 506, p2: 722 507
p1: 671 467, p2: 699 468
p1: 672 442, p2: 712 443
p1: 688 516, p2: 728 516
p1: 675 497, p2: 720 497
p1: 678 501, p2: 708 501
p1: 676 385, p2: 706 385
p1: 676 493, p2: 707 494
p1: 677 111, p2: 677 169
p1: 680 490, p2: 718 490
p1: 690 404, p2: 713 404
p1: 680 419, p2: 704 417
p1: 682 434, p2: 718 434
p1: 688 426, p2: 719 426
p1: 705 390, p2: 760 443
p1: 704 462, p2: 737 462
p1: 707 253, p2: 709 225
p1: 708 113, p2: 708 144
p1: 698 526, p2: 743 526
p1: 711 530, p2: 734 531
p1: 715 385, p2: 782 447
p1: 782 447, p2: 846 503
p1: 846 503, p2: 868 525
p1: 716 39, p2: 718 16
p1: 717 71, p2: 720 94
p1: 717 81, p2: 717 159
p1: 718 161, p2: 718 372
p1: 719 54, p2: 721 8
p1: 719 384, p2: 783 441
p1: 722 522, p2: 687 523
p1: 723 382, p2: 739 398
